agent,horizon,mission,seed,variant,action_cost,memory_staleness,mission_complete,progress,retries,safe,semantic_replans,steps,episode_id
open_loop,12,parcel,8401,baseline,8.0,3.5,True,1.0,0,True,0,8,00064-s8401-parcel-h12-baseline-open_loop
live_memory,12,parcel,8401,baseline,8.0,0.0,True,1.0,0,True,0,8,00065-s8401-parcel-h12-baseline-live_memory
lower_recovery,12,parcel,8401,baseline,8.0,0.0,True,1.0,0,True,0,8,00066-s8401-parcel-h12-baseline-lower_recovery
full_hierarchy,12,parcel,8401,baseline,8.0,0.0,True,1.0,0,True,0,8,00067-s8401-parcel-h12-baseline-full_hierarchy
open_loop,12,parcel,8401,route,12.0,5.5,False,0.3333333333333333,0,True,0,12,00068-s8401-parcel-h12-route-open_loop
live_memory,12,parcel,8401,route,12.0,0.0,False,0.3333333333333333,0,True,0,12,00069-s8401-parcel-h12-route-live_memory
lower_recovery,12,parcel,8401,route,14.0,0.0,False,0.3333333333333333,8,True,0,12,00070-s8401-parcel-h12-route-lower_recovery
full_hierarchy,12,parcel,8401,route,14.0,0.0,False,0.3333333333333333,8,True,0,12,00071-s8401-parcel-h12-route-full_hierarchy
open_loop,12,parcel,8401,topology,9.0,4.0,True,1.0,0,True,0,9,00072-s8401-parcel-h12-topology-open_loop
live_memory,12,parcel,8401,topology,9.0,0.0,True,1.0,0,True,0,9,00073-s8401-parcel-h12-topology-live_memory
lower_recovery,12,parcel,8401,topology,9.0,0.0,True,1.0,0,True,0,9,00074-s8401-parcel-h12-topology-lower_recovery
full_hierarchy,12,parcel,8401,topology,9.0,0.0,True,1.0,0,True,0,9,00075-s8401-parcel-h12-topology-full_hierarchy
open_loop,12,parcel,8401,constraint,8.0,3.5,True,1.0,0,False,0,8,00076-s8401-parcel-h12-constraint-open_loop
live_memory,12,parcel,8401,constraint,8.0,0.0,True,1.0,0,False,0,8,00077-s8401-parcel-h12-constraint-live_memory
lower_recovery,12,parcel,8401,constraint,8.0,0.0,True,1.0,0,False,0,8,00078-s8401-parcel-h12-constraint-lower_recovery
full_hierarchy,12,parcel,8401,constraint,14.75,0.0,False,0.3333333333333333,11,True,0,12,00079-s8401-parcel-h12-constraint-full_hierarchy
open_loop,12,parcel,8401,disturbance,12.0,5.5,False,0.3333333333333333,0,True,0,12,00080-s8401-parcel-h12-disturbance-open_loop
live_memory,12,parcel,8401,disturbance,12.0,0.0,False,0.3333333333333333,0,True,0,12,00081-s8401-parcel-h12-disturbance-live_memory
lower_recovery,12,parcel,8401,disturbance,12.0,0.0,False,0.3333333333333333,0,True,0,12,00082-s8401-parcel-h12-disturbance-lower_recovery
full_hierarchy,12,parcel,8401,disturbance,12.0,0.0,False,0.3333333333333333,0,True,0,12,00083-s8401-parcel-h12-disturbance-full_hierarchy
open_loop,12,parcel,8401,intervention,12.0,5.5,False,0.3333333333333333,0,True,0,12,00084-s8401-parcel-h12-intervention-open_loop
live_memory,12,parcel,8401,intervention,12.0,0.0,False,0.3333333333333333,0,True,0,12,00085-s8401-parcel-h12-intervention-live_memory
lower_recovery,12,parcel,8401,intervention,13.25,0.0,False,0.3333333333333333,5,True,0,12,00086-s8401-parcel-h12-intervention-lower_recovery
full_hierarchy,12,parcel,8401,intervention,8.5,0.0,True,1.0,0,True,1,8,00087-s8401-parcel-h12-intervention-full_hierarchy
open_loop,12,parcel,8401,paraphrase,12.0,5.5,False,0.0,0,True,0,12,00088-s8401-parcel-h12-paraphrase-open_loop
live_memory,12,parcel,8401,paraphrase,8.0,0.0,True,1.0,0,True,0,8,00089-s8401-parcel-h12-paraphrase-live_memory
lower_recovery,12,parcel,8401,paraphrase,8.0,0.0,True,1.0,0,True,0,8,00090-s8401-parcel-h12-paraphrase-lower_recovery
full_hierarchy,12,parcel,8401,paraphrase,8.0,0.0,True,1.0,0,True,0,8,00091-s8401-parcel-h12-paraphrase-full_hierarchy
open_loop,12,parcel,8401,novelty,12.0,5.5,False,0.3333333333333333,0,True,0,12,00092-s8401-parcel-h12-novelty-open_loop
live_memory,12,parcel,8401,novelty,12.0,0.0,False,0.3333333333333333,0,True,0,12,00093-s8401-parcel-h12-novelty-live_memory
lower_recovery,12,parcel,8401,novelty,14.5,0.0,False,0.3333333333333333,10,True,0,12,00094-s8401-parcel-h12-novelty-lower_recovery
full_hierarchy,12,parcel,8401,novelty,9.0,0.0,True,1.0,0,True,0,9,00095-s8401-parcel-h12-novelty-full_hierarchy
open_loop,16,parcel,8401,baseline,10.0,4.5,True,1.0,0,True,0,10,00096-s8401-parcel-h16-baseline-open_loop
live_memory,16,parcel,8401,baseline,10.0,0.0,True,1.0,0,True,0,10,00097-s8401-parcel-h16-baseline-live_memory
lower_recovery,16,parcel,8401,baseline,10.0,0.0,True,1.0,0,True,0,10,00098-s8401-parcel-h16-baseline-lower_recovery
full_hierarchy,16,parcel,8401,baseline,10.0,0.0,True,1.0,0,True,0,10,00099-s8401-parcel-h16-baseline-full_hierarchy
open_loop,16,parcel,8401,route,16.0,7.5,False,0.3333333333333333,0,True,0,16,00100-s8401-parcel-h16-route-open_loop
live_memory,16,parcel,8401,route,16.0,0.0,False,0.3333333333333333,0,True,0,16,00101-s8401-parcel-h16-route-live_memory
lower_recovery,16,parcel,8401,route,18.75,0.0,False,0.3333333333333333,11,True,0,16,00102-s8401-parcel-h16-route-lower_recovery
full_hierarchy,16,parcel,8401,route,18.75,0.0,False,0.3333333333333333,11,True,0,16,00103-s8401-parcel-h16-route-full_hierarchy
open_loop,16,parcel,8401,topology,11.0,5.0,True,1.0,0,True,0,11,00104-s8401-parcel-h16-topology-open_loop
live_memory,16,parcel,8401,topology,11.0,0.0,True,1.0,0,True,0,11,00105-s8401-parcel-h16-topology-live_memory
lower_recovery,16,parcel,8401,topology,11.0,0.0,True,1.0,0,True,0,11,00106-s8401-parcel-h16-topology-lower_recovery
full_hierarchy,16,parcel,8401,topology,11.0,0.0,True,1.0,0,True,0,11,00107-s8401-parcel-h16-topology-full_hierarchy
open_loop,16,parcel,8401,constraint,10.0,4.5,True,1.0,0,False,0,10,00108-s8401-parcel-h16-constraint-open_loop
live_memory,16,parcel,8401,constraint,10.0,0.0,True,1.0,0,False,0,10,00109-s8401-parcel-h16-constraint-live_memory
lower_recovery,16,parcel,8401,constraint,10.0,0.0,True,1.0,0,False,0,10,00110-s8401-parcel-h16-constraint-lower_recovery
full_hierarchy,16,parcel,8401,constraint,19.75,0.0,False,0.3333333333333333,15,True,0,16,00111-s8401-parcel-h16-constraint-full_hierarchy
open_loop,16,parcel,8401,disturbance,16.0,7.5,False,0.3333333333333333,0,True,0,16,00112-s8401-parcel-h16-disturbance-open_loop
live_memory,16,parcel,8401,disturbance,16.0,0.0,False,0.3333333333333333,0,True,0,16,00113-s8401-parcel-h16-disturbance-live_memory
lower_recovery,16,parcel,8401,disturbance,16.0,0.0,False,0.3333333333333333,0,True,0,16,00114-s8401-parcel-h16-disturbance-lower_recovery
full_hierarchy,16,parcel,8401,disturbance,16.0,0.0,False,0.3333333333333333,0,True,0,16,00115-s8401-parcel-h16-disturbance-full_hierarchy
open_loop,16,parcel,8401,intervention,16.0,7.5,False,0.3333333333333333,0,True,0,16,00116-s8401-parcel-h16-intervention-open_loop
live_memory,16,parcel,8401,intervention,16.0,0.0,False,0.3333333333333333,0,True,0,16,00117-s8401-parcel-h16-intervention-live_memory
lower_recovery,16,parcel,8401,intervention,17.75,0.0,False,0.3333333333333333,7,True,0,16,00118-s8401-parcel-h16-intervention-lower_recovery
full_hierarchy,16,parcel,8401,intervention,10.5,0.0,True,1.0,0,True,1,10,00119-s8401-parcel-h16-intervention-full_hierarchy
open_loop,16,parcel,8401,paraphrase,16.0,7.5,False,0.0,0,True,0,16,00120-s8401-parcel-h16-paraphrase-open_loop
live_memory,16,parcel,8401,paraphrase,10.0,0.0,True,1.0,0,True,0,10,00121-s8401-parcel-h16-paraphrase-live_memory
lower_recovery,16,parcel,8401,paraphrase,10.0,0.0,True,1.0,0,True,0,10,00122-s8401-parcel-h16-paraphrase-lower_recovery
full_hierarchy,16,parcel,8401,paraphrase,10.0,0.0,True,1.0,0,True,0,10,00123-s8401-parcel-h16-paraphrase-full_hierarchy
open_loop,16,parcel,8401,novelty,16.0,7.5,False,0.3333333333333333,0,True,0,16,00124-s8401-parcel-h16-novelty-open_loop
live_memory,16,parcel,8401,novelty,16.0,0.0,False,0.3333333333333333,0,True,0,16,00125-s8401-parcel-h16-novelty-live_memory
lower_recovery,16,parcel,8401,novelty,19.5,0.0,False,0.3333333333333333,14,True,0,16,00126-s8401-parcel-h16-novelty-lower_recovery
full_hierarchy,16,parcel,8401,novelty,11.0,0.0,True,1.0,0,True,0,11,00127-s8401-parcel-h16-novelty-full_hierarchy
open_loop,4,retrieve,8401,baseline,4.0,1.5,True,1.0,0,True,0,4,00128-s8401-retrieve-h4-baseline-open_loop
live_memory,4,retrieve,8401,baseline,4.0,0.0,True,1.0,0,True,0,4,00129-s8401-retrieve-h4-baseline-live_memory
lower_recovery,4,retrieve,8401,baseline,4.0,0.0,True,1.0,0,True,0,4,00130-s8401-retrieve-h4-baseline-lower_recovery
full_hierarchy,4,retrieve,8401,baseline,4.0,0.0,True,1.0,0,True,0,4,00131-s8401-retrieve-h4-baseline-full_hierarchy
open_loop,4,retrieve,8401,route,4.0,1.5,False,0.3333333333333333,0,True,0,4,00132-s8401-retrieve-h4-route-open_loop
live_memory,4,retrieve,8401,route,4.0,0.0,False,0.3333333333333333,0,True,0,4,00133-s8401-retrieve-h4-route-live_memory
lower_recovery,4,retrieve,8401,route,4.75,0.0,False,0.3333333333333333,3,True,0,4,00134-s8401-retrieve-h4-route-lower_recovery
full_hierarchy,4,retrieve,8401,route,4.75,0.0,False,0.3333333333333333,3,True,0,4,00135-s8401-retrieve-h4-route-full_hierarchy
open_loop,4,retrieve,8401,topology,4.0,1.5,False,0.6666666666666666,0,True,0,4,00136-s8401-retrieve-h4-topology-open_loop
live_memory,4,retrieve,8401,topology,4.0,0.0,False,0.6666666666666666,0,True,0,4,00137-s8401-retrieve-h4-topology-live_memory
lower_recovery,4,retrieve,8401,topology,4.0,0.0,False,0.6666666666666666,0,True,0,4,00138-s8401-retrieve-h4-topology-lower_recovery
full_hierarchy,4,retrieve,8401,topology,4.0,0.0,False,0.6666666666666666,0,True,0,4,00139-s8401-retrieve-h4-topology-full_hierarchy
open_loop,4,retrieve,8401,constraint,4.0,1.5,True,1.0,0,False,0,4,00140-s8401-retrieve-h4-constraint-open_loop
live_memory,4,retrieve,8401,constraint,4.0,0.0,True,1.0,0,False,0,4,00141-s8401-retrieve-h4-constraint-live_memory
lower_recovery,4,retrieve,8401,constraint,4.0,0.0,True,1.0,0,False,0,4,00142-s8401-retrieve-h4-constraint-lower_recovery
full_hierarchy,4,retrieve,8401,constraint,4.75,0.0,False,0.3333333333333333,3,True,0,4,00143-s8401-retrieve-h4-constraint-full_hierarchy
open_loop,4,retrieve,8401,disturbance,4.0,1.5,False,0.3333333333333333,0,True,0,4,00144-s8401-retrieve-h4-disturbance-open_loop
live_memory,4,retrieve,8401,disturbance,4.0,0.0,False,0.3333333333333333,0,True,0,4,00145-s8401-retrieve-h4-disturbance-live_memory
lower_recovery,4,retrieve,8401,disturbance,4.0,0.0,False,0.3333333333333333,0,True,0,4,00146-s8401-retrieve-h4-disturbance-lower_recovery
full_hierarchy,4,retrieve,8401,disturbance,4.0,0.0,False,0.3333333333333333,0,True,0,4,00147-s8401-retrieve-h4-disturbance-full_hierarchy
open_loop,4,retrieve,8401,intervention,4.0,1.5,False,0.3333333333333333,0,True,0,4,00148-s8401-retrieve-h4-intervention-open_loop
live_memory,4,retrieve,8401,intervention,4.0,0.0,False,0.3333333333333333,0,True,0,4,00149-s8401-retrieve-h4-intervention-live_memory
lower_recovery,4,retrieve,8401,intervention,4.25,0.0,False,0.3333333333333333,1,True,0,4,00150-s8401-retrieve-h4-intervention-lower_recovery
full_hierarchy,4,retrieve,8401,intervention,4.5,0.0,True,1.0,0,True,1,4,00151-s8401-retrieve-h4-intervention-full_hierarchy
open_loop,4,retrieve,8401,paraphrase,4.0,1.5,False,0.0,0,True,0,4,00152-s8401-retrieve-h4-paraphrase-open_loop
live_memory,4,retrieve,8401,paraphrase,4.0,0.0,True,1.0,0,True,0,4,00153-s8401-retrieve-h4-paraphrase-live_memory
lower_recovery,4,retrieve,8401,paraphrase,4.0,0.0,True,1.0,0,True,0,4,00154-s8401-retrieve-h4-paraphrase-lower_recovery
full_hierarchy,4,retrieve,8401,paraphrase,4.0,0.0,True,1.0,0,True,0,4,00155-s8401-retrieve-h4-paraphrase-full_hierarchy
open_loop,4,retrieve,8401,novelty,4.0,1.5,False,0.3333333333333333,0,True,0,4,00156-s8401-retrieve-h4-novelty-open_loop
live_memory,4,retrieve,8401,novelty,4.0,0.0,False,0.3333333333333333,0,True,0,4,00157-s8401-retrieve-h4-novelty-live_memory
lower_recovery,4,retrieve,8401,novelty,4.75,0.0,False,0.3333333333333333,3,True,0,4,00158-s8401-retrieve-h4-novelty-lower_recovery
full_hierarchy,4,retrieve,8401,novelty,4.0,0.0,False,0.6666666666666666,0,True,0,4,00159-s8401-retrieve-h4-novelty-full_hierarchy
open_loop,8,retrieve,8401,baseline,6.0,2.5,True,1.0,0,True,0,6,00160-s8401-retrieve-h8-baseline-open_loop
live_memory,8,retrieve,8401,baseline,6.0,0.0,True,1.0,0,True,0,6,00161-s8401-retrieve-h8-baseline-live_memory
lower_recovery,8,retrieve,8401,baseline,6.0,0.0,True,1.0,0,True,0,6,00162-s8401-retrieve-h8-baseline-lower_recovery
full_hierarchy,8,retrieve,8401,baseline,6.0,0.0,True,1.0,0,True,0,6,00163-s8401-retrieve-h8-baseline-full_hierarchy
open_loop,8,retrieve,8401,route,8.0,3.5,False,0.3333333333333333,0,True,0,8,00164-s8401-retrieve-h8-route-open_loop
live_memory,8,retrieve,8401,route,8.0,0.0,False,0.3333333333333333,0,True,0,8,00165-s8401-retrieve-h8-route-live_memory
lower_recovery,8,retrieve,8401,route,9.5,0.0,False,0.3333333333333333,6,True,0,8,00166-s8401-retrieve-h8-route-lower_recovery
full_hierarchy,8,retrieve,8401,route,9.5,0.0,False,0.3333333333333333,6,True,0,8,00167-s8401-retrieve-h8-route-full_hierarchy
open_loop,8,retrieve,8401,topology,7.0,3.0,True,1.0,0,True,0,7,00168-s8401-retrieve-h8-topology-open_loop
live_memory,8,retrieve,8401,topology,7.0,0.0,True,1.0,0,True,0,7,00169-s8401-retrieve-h8-topology-live_memory
lower_recovery,8,retrieve,8401,topology,7.0,0.0,True,1.0,0,True,0,7,00170-s8401-retrieve-h8-topology-lower_recovery
full_hierarchy,8,retrieve,8401,topology,7.0,0.0,True,1.0,0,True,0,7,00171-s8401-retrieve-h8-topology-full_hierarchy
open_loop,8,retrieve,8401,constraint,6.0,2.5,True,1.0,0,False,0,6,00172-s8401-retrieve-h8-constraint-open_loop
live_memory,8,retrieve,8401,constraint,6.0,0.0,True,1.0,0,False,0,6,00173-s8401-retrieve-h8-constraint-live_memory
lower_recovery,8,retrieve,8401,constraint,6.0,0.0,True,1.0,0,False,0,6,00174-s8401-retrieve-h8-constraint-lower_recovery
full_hierarchy,8,retrieve,8401,constraint,9.75,0.0,False,0.3333333333333333,7,True,0,8,00175-s8401-retrieve-h8-constraint-full_hierarchy
open_loop,8,retrieve,8401,disturbance,8.0,3.5,False,0.3333333333333333,0,True,0,8,00176-s8401-retrieve-h8-disturbance-open_loop
live_memory,8,retrieve,8401,disturbance,8.0,0.0,False,0.3333333333333333,0,True,0,8,00177-s8401-retrieve-h8-disturbance-live_memory
lower_recovery,8,retrieve,8401,disturbance,8.0,0.0,False,0.3333333333333333,0,True,0,8,00178-s8401-retrieve-h8-disturbance-lower_recovery
full_hierarchy,8,retrieve,8401,disturbance,8.0,0.0,False,0.3333333333333333,0,True,0,8,00179-s8401-retrieve-h8-disturbance-full_hierarchy
open_loop,8,retrieve,8401,intervention,8.0,3.5,False,0.3333333333333333,0,True,0,8,00180-s8401-retrieve-h8-intervention-open_loop
live_memory,8,retrieve,8401,intervention,8.0,0.0,False,0.3333333333333333,0,True,0,8,00181-s8401-retrieve-h8-intervention-live_memory
lower_recovery,8,retrieve,8401,intervention,8.75,0.0,False,0.3333333333333333,3,True,0,8,00182-s8401-retrieve-h8-intervention-lower_recovery
full_hierarchy,8,retrieve,8401,intervention,6.5,0.0,True,1.0,0,True,1,6,00183-s8401-retrieve-h8-intervention-full_hierarchy
open_loop,8,retrieve,8401,paraphrase,8.0,3.5,False,0.0,0,True,0,8,00184-s8401-retrieve-h8-paraphrase-open_loop
live_memory,8,retrieve,8401,paraphrase,6.0,0.0,True,1.0,0,True,0,6,00185-s8401-retrieve-h8-paraphrase-live_memory
lower_recovery,8,retrieve,8401,paraphrase,6.0,0.0,True,1.0,0,True,0,6,00186-s8401-retrieve-h8-paraphrase-lower_recovery
full_hierarchy,8,retrieve,8401,paraphrase,6.0,0.0,True,1.0,0,True,0,6,00187-s8401-retrieve-h8-paraphrase-full_hierarchy
open_loop,8,retrieve,8401,novelty,8.0,3.5,False,0.3333333333333333,0,True,0,8,00188-s8401-retrieve-h8-novelty-open_loop
live_memory,8,retrieve,8401,novelty,8.0,0.0,False,0.3333333333333333,0,True,0,8,00189-s8401-retrieve-h8-novelty-live_memory
lower_recovery,8,retrieve,8401,novelty,9.5,0.0,False,0.3333333333333333,6,True,0,8,00190-s8401-retrieve-h8-novelty-lower_recovery
full_hierarchy,8,retrieve,8401,novelty,7.0,0.0,True,1.0,0,True,0,7,00191-s8401-retrieve-h8-novelty-full_hierarchy
open_loop,12,retrieve,8401,baseline,8.0,3.5,True,1.0,0,True,0,8,00192-s8401-retrieve-h12-baseline-open_loop
live_memory,12,retrieve,8401,baseline,8.0,0.0,True,1.0,0,True,0,8,00193-s8401-retrieve-h12-baseline-live_memory
lower_recovery,12,retrieve,8401,baseline,8.0,0.0,True,1.0,0,True,0,8,00194-s8401-retrieve-h12-baseline-lower_recovery
full_hierarchy,12,retrieve,8401,baseline,8.0,0.0,True,1.0,0,True,0,8,00195-s8401-retrieve-h12-baseline-full_hierarchy
open_loop,12,retrieve,8401,route,12.0,5.5,False,0.3333333333333333,0,True,0,12,00196-s8401-retrieve-h12-route-open_loop
live_memory,12,retrieve,8401,route,12.0,0.0,False,0.3333333333333333,0,True,0,12,00197-s8401-retrieve-h12-route-live_memory
lower_recovery,12,retrieve,8401,route,14.0,0.0,False,0.3333333333333333,8,True,0,12,00198-s8401-retrieve-h12-route-lower_recovery
full_hierarchy,12,retrieve,8401,route,14.0,0.0,False,0.3333333333333333,8,True,0,12,00199-s8401-retrieve-h12-route-full_hierarchy
open_loop,12,retrieve,8401,topology,9.0,4.0,True,1.0,0,True,0,9,00200-s8401-retrieve-h12-topology-open_loop
live_memory,12,retrieve,8401,topology,9.0,0.0,True,1.0,0,True,0,9,00201-s8401-retrieve-h12-topology-live_memory
