run,seed,mission,case_sha256,event_stratum,event_count,event_types_json,event_payloads_json,history_present,history_event_count,instruction,case_source_path
a,83,STORE_CARRIED_TOOL,68740211f7e07f11d34c8a54aa2cb33205d98dae9a708168cd4f8e82c6746e2b,NONE,0,[],[],true,1,Find a safe location for the carried tool.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,84,INSPECT_NEAREST_COOLANT,a8b6ff83d6f688c1b9c0eba869119a09ac1d6bc4b72dc6c33517cf005475aea6,NONE,0,[],[],true,2,Inspect the nearest coolant valve without entering a restricted room.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,84,INSPECT_VALVE7_WITH_ALTERNATE,081458ee0013b5988d7e60a602276884cfa9e6606eff0ca64e99625a2c7c3a1d,NONE,0,[],[],true,2,"Inspect Valve 7; if Door 3 is unavailable, use another route.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,84,REACH_PUMP2_WITH_RECHARGE,c56394ae5369702140b390388af59e7bcc88cfcce82d39af7114e0b7302e56de,NONE,0,[],[],true,1,"Reach Pump 2, but recharge first if estimated battery is insufficient.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,84,REPLAN_ON_RESTRICTION,a6da83635ad7a457f979efd6ac80d576307761ed141118efe103ea35bba0f4b3,ROOM_RESTRICTED,1,"[""ROOM_RESTRICTED""]","[""RESTRICTED""]",true,2,Inspect Valve 7 and replan if a room becomes restricted.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,84,STORE_CARRIED_TOOL,fd9662c3cb8b35ff4527e7a5512fe4be4b46cf56f6c26ccaba977003966aaa36,NONE,0,[],[],true,2,Find a safe location for the carried tool.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,85,INSPECT_NEAREST_COOLANT,7fe4ec950d5a4bf205e09a200bd0014a17fbf8abad41e00f24049423c08f6887,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",true,1,Safely inspect the nearest coolant valve without entering a restricted room.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,85,INSPECT_VALVE7_WITH_ALTERNATE,1033b9a98e9de18cd75a63233163328a6be0eacc62dd945e6698c1d7f5291273,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",false,0,"Safely inspect Valve 7; if Door 3 is unavailable, use another route.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,85,REACH_PUMP2_WITH_RECHARGE,78dcc8865f3b813e7fa1946758a8bd0cf2fecf2219d1f1572ac6553d22d4af1f,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",false,0,"Reach Pump 2, but recharge first if estimated battery is insufficient.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,85,REPLAN_ON_RESTRICTION,d7f2ab56e46c41289bd1a142a689748ccd2e285198adde85c5b4e327b7705bf4,INSTRUCTION_CHANGED+ROOM_RESTRICTED,2,"[""INSTRUCTION_CHANGED"",""ROOM_RESTRICTED""]","[""AVOID_ROOM:ElectricalRoom"",""RESTRICTED""]",true,1,Safely inspect Valve 7 and replan if a room becomes restricted.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,85,STORE_CARRIED_TOOL,51b53cc239a2876641f618e8b345181c78b799d22c006bb8fb6f56b6359cf237,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",false,0,Find a safe location for the carried tool.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,86,INSPECT_NEAREST_COOLANT,676b6e5c4d49a21ffa9c8b6b71b896734eb0e6b4910fe5ef65874345ab6c6d5c,NONE,0,[],[],true,1,Inspect the nearest coolant valve without entering a restricted room.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,86,INSPECT_VALVE7_WITH_ALTERNATE,ca5e54d498454da66c51fd8e7aac92985669c87a32b3b89db05b95de56a7185a,NONE,0,[],[],true,1,"Inspect Valve 7; if Door 3 is unavailable, use another route.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,86,REACH_PUMP2_WITH_RECHARGE,d8a6a9c88a87f4920e7ad30f756a6b918f185e9cc6baf3a4c3a08165eece04fd,NONE,0,[],[],true,1,"Reach Pump 2, but recharge first if estimated battery is insufficient.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,86,REPLAN_ON_RESTRICTION,4ad6e8d3473428063df6c6583870d99b5b0156913458f549445c9268c612fc5e,ROOM_RESTRICTED,1,"[""ROOM_RESTRICTED""]","[""RESTRICTED""]",false,0,Inspect Valve 7 and replan if a room becomes restricted.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,86,STORE_CARRIED_TOOL,685a692dd93934fdb568fe76e5e29765d74d99f4dcbd3a19d7a0f36052a1071f,NONE,0,[],[],false,0,Find a safe location for the carried tool.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,87,INSPECT_NEAREST_COOLANT,c4939a647a5c5aa1c627e8f4d8c4268cee021dd6616b627c50e9694b53940225,NONE,0,[],[],true,1,Safely inspect the nearest coolant valve without entering a restricted room.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,87,INSPECT_VALVE7_WITH_ALTERNATE,4badc443e795bf495a15f092700819511175e04120981310166892cc04bd4192,NONE,0,[],[],false,0,"Safely inspect Valve 7; if Door 3 is unavailable, use another route.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,87,REACH_PUMP2_WITH_RECHARGE,7738337d2390da15df574248745d94027eaa96e4409a43b186d2b0b9a0d57296,NONE,0,[],[],true,2,"Reach Pump 2, but recharge first if estimated battery is insufficient.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,87,REPLAN_ON_RESTRICTION,225490af992dba2a1878e4325a339eb51c86a4383f2baaaa54d8dc9fb88fcd22,ROOM_RESTRICTED+ROUTE_BLOCKED,2,"[""ROUTE_BLOCKED"",""ROOM_RESTRICTED""]","[""UNAVAILABLE"",""RESTRICTED""]",false,0,Safely inspect Valve 7 and replan if a room becomes restricted.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,87,STORE_CARRIED_TOOL,889b457125b8425891a5957055e89404ae7812534c549ba23e1efe4195215406,NONE,0,[],[],false,0,Find a safe location for the carried tool.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,88,INSPECT_NEAREST_COOLANT,b54fb5dd2b1e27483b3050c980af7108311b1f86eeafeddc8c3e3ddffd10958e,NONE,0,[],[],true,1,Inspect the nearest coolant valve without entering a restricted room.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,88,INSPECT_VALVE7_WITH_ALTERNATE,c37f54031d87a3372f05fc79dc45edabce7501649ed69bc678327d91f10bbf15,NONE,0,[],[],true,1,"Inspect Valve 7; if Door 3 is unavailable, use another route.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,88,REACH_PUMP2_WITH_RECHARGE,7229397f50d1d26f1645328bfa1e8e2fcf421ded570eac475dad1028b6bd4e5f,NONE,0,[],[],true,1,"Reach Pump 2, but recharge first if estimated battery is insufficient.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,88,REPLAN_ON_RESTRICTION,bea8886154400bd50df18a84797451b6de67509d706e78de9f25b4b60c2d8b4f,ROOM_RESTRICTED,1,"[""ROOM_RESTRICTED""]","[""RESTRICTED""]",false,0,Inspect Valve 7 and replan if a room becomes restricted.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,88,STORE_CARRIED_TOOL,1f119a9c0b0a85c7e6664da0db69670412105f426c5acfbc05e3ad1ec0facdba,NONE,0,[],[],true,1,Find a safe location for the carried tool.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,89,INSPECT_NEAREST_COOLANT,b1c60c55ad6f1ea7cada9b5891f18dc475588857bb38b6d8b13d5a7d4750d9ac,ROUTE_BLOCKED,1,"[""ROUTE_BLOCKED""]","[""UNAVAILABLE""]",false,0,Safely inspect the nearest coolant valve without entering a restricted room.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,89,INSPECT_VALVE7_WITH_ALTERNATE,a4159405abdc19c357c540322cf8bbea4e881101997bdfb645f35263c58dde7a,NONE,0,[],[],false,0,"Safely inspect Valve 7; if Door 3 is unavailable, use another route.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,89,REACH_PUMP2_WITH_RECHARGE,755b167d20c935edba67ed0082f42d584c95e386e6c07a00e9e5e28154300053,NONE,0,[],[],true,1,"Reach Pump 2, but recharge first if estimated battery is insufficient.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,89,REPLAN_ON_RESTRICTION,5499309d31fe01e6248033f7c56a35022bca0afb3270710147eb4a8e2beefe5d,ROOM_RESTRICTED+ROUTE_BLOCKED,2,"[""ROUTE_BLOCKED"",""ROOM_RESTRICTED""]","[""UNAVAILABLE"",""RESTRICTED""]",false,0,Safely inspect Valve 7 and replan if a room becomes restricted.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,89,STORE_CARRIED_TOOL,a40f7b5a715b7a936c81e3a8e68b7c72a06aeb397a7b5817a8a1925a990d162f,NONE,0,[],[],false,0,Find a safe location for the carried tool.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,90,INSPECT_NEAREST_COOLANT,c27bc36cc9c21f1d06da90190b3e6efdcc5142acfb00f9cc55a11950a86c310b,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",true,1,Inspect the nearest coolant valve without entering a restricted room.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,90,INSPECT_VALVE7_WITH_ALTERNATE,c00eb36aaa090e3e2aad1f4eb0ef519733dfb2429aa3ff9ed8e7618321fdac35,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",true,1,"Inspect Valve 7; if Door 3 is unavailable, use another route.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,90,REACH_PUMP2_WITH_RECHARGE,5f172fe785f84af017e43c10eca51f1ddf6661b283767d4a795c13fe64f00e63,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",true,1,"Reach Pump 2, but recharge first if estimated battery is insufficient.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,90,REPLAN_ON_RESTRICTION,0a0b41edbd7994f7129a2e0293ad1878572af564758c7183b231fa3d9c776541,INSTRUCTION_CHANGED+ROOM_RESTRICTED,2,"[""INSTRUCTION_CHANGED"",""ROOM_RESTRICTED""]","[""AVOID_ROOM:ElectricalRoom"",""RESTRICTED""]",true,2,Inspect Valve 7 and replan if a room becomes restricted.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,90,STORE_CARRIED_TOOL,2b9c0da0a57c010ee1e59e53dd4ddc3d9f7d8e1b4add6bc4c2539f3daca428d3,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",true,1,Find a safe location for the carried tool.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,91,INSPECT_NEAREST_COOLANT,01654afc06a540d0782b5aaded88b71ffe7a5f7107af3dd4a669f120d59e95ac,ROUTE_BLOCKED,1,"[""ROUTE_BLOCKED""]","[""UNAVAILABLE""]",true,1,Safely inspect the nearest coolant valve without entering a restricted room.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,91,INSPECT_VALVE7_WITH_ALTERNATE,d28d2381cb986504b50d8f9b007bf8ff2c2f91fecfd72af1be7701fbfb1fe072,NONE,0,[],[],true,1,"Safely inspect Valve 7; if Door 3 is unavailable, use another route.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,91,REACH_PUMP2_WITH_RECHARGE,df1047702bb93891a01bc297b11711a75d6463119930bd26054e2ec51d444f96,ROUTE_BLOCKED,1,"[""ROUTE_BLOCKED""]","[""UNAVAILABLE""]",true,1,"Reach Pump 2, but recharge first if estimated battery is insufficient.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,91,REPLAN_ON_RESTRICTION,b0b972e21060134ab280209a8b36768ed0215f5e528282cbf1c993cbcf71286e,ROOM_RESTRICTED,1,"[""ROOM_RESTRICTED""]","[""RESTRICTED""]",true,1,Safely inspect Valve 7 and replan if a room becomes restricted.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,91,STORE_CARRIED_TOOL,cd82a1c56097d9f514c546fc03820aa34efc24ccc6fe5e71011cd39554fd007b,NONE,0,[],[],false,0,Find a safe location for the carried tool.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,92,INSPECT_NEAREST_COOLANT,f2c0e0c3a6c7fa8526dd62ace6579f4d95210663d118f12c042378064c64be7d,NONE,0,[],[],true,1,Inspect the nearest coolant valve without entering a restricted room.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,92,INSPECT_VALVE7_WITH_ALTERNATE,27bea4b78dffabaa62fae606fc7eb1c36c7a5705fe6c46c756158ce9bb209d20,NONE,0,[],[],false,0,"Inspect Valve 7; if Door 3 is unavailable, use another route.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,92,REACH_PUMP2_WITH_RECHARGE,cf5bb688726523260268e85030055bf4d55506c907a377594aeb54f90888a2cb,NONE,0,[],[],true,1,"Reach Pump 2, but recharge first if estimated battery is insufficient.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,92,REPLAN_ON_RESTRICTION,88ba214b6b53f74c91c2da7126f0f8e7fc8c0fc4a75a7673ec7b0eff519bb4f2,ROOM_RESTRICTED,1,"[""ROOM_RESTRICTED""]","[""RESTRICTED""]",false,0,Inspect Valve 7 and replan if a room becomes restricted.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,92,STORE_CARRIED_TOOL,ef9dfd44e1e3f89a2ab380d5014625f970bf6634b641ccfe4628cacc74a8aa5f,NONE,0,[],[],true,1,Find a safe location for the carried tool.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,93,INSPECT_NEAREST_COOLANT,482d84df77c44907473a305d7a48bb7b0e062745a37113c8140275b7e089c2db,ROUTE_BLOCKED,1,"[""ROUTE_BLOCKED""]","[""UNAVAILABLE""]",true,1,Safely inspect the nearest coolant valve without entering a restricted room.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,93,INSPECT_VALVE7_WITH_ALTERNATE,4f3d5b3b98ac269705074e9c9234d332405870f73b54a01df82644f1938a940f,ROUTE_BLOCKED,1,"[""ROUTE_BLOCKED""]","[""UNAVAILABLE""]",true,1,"Safely inspect Valve 7; if Door 3 is unavailable, use another route.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,93,REACH_PUMP2_WITH_RECHARGE,8da881ae73afd46e74702beea1e84e012f2c99d262a8a567f0cab8005c7b30c6,NONE,0,[],[],true,1,"Reach Pump 2, but recharge first if estimated battery is insufficient.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,93,REPLAN_ON_RESTRICTION,d69c59c433a4b5978f8c93aecd71e51925566de07d6b808221bf6bd16b301c85,ROOM_RESTRICTED,1,"[""ROOM_RESTRICTED""]","[""RESTRICTED""]",true,1,Safely inspect Valve 7 and replan if a room becomes restricted.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,93,STORE_CARRIED_TOOL,a38ea3fbf7f6a1e312840c48583086ec6eb48794324001ef9373d994a6257fe3,NONE,0,[],[],false,0,Find a safe location for the carried tool.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,94,INSPECT_NEAREST_COOLANT,5ade033aeb138cb59102283556f7e215acf450859957a1faae8a0cc83d8a14cd,ROUTE_BLOCKED,1,"[""ROUTE_BLOCKED""]","[""UNAVAILABLE""]",true,1,Inspect the nearest coolant valve without entering a restricted room.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,94,INSPECT_VALVE7_WITH_ALTERNATE,1c8620c1d85d23d3bd24ca4a830497a9e2d80463a6ad04b55efeee218deecb43,ROUTE_BLOCKED,1,"[""ROUTE_BLOCKED""]","[""UNAVAILABLE""]",true,1,"Inspect Valve 7; if Door 3 is unavailable, use another route.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,94,REACH_PUMP2_WITH_RECHARGE,95f24be32d12c4f211f4984ad4b74ab2700a1074af2f9b352841a4235978a929,NONE,0,[],[],true,1,"Reach Pump 2, but recharge first if estimated battery is insufficient.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,94,REPLAN_ON_RESTRICTION,c4ab949cad56663e151469fcc85db0d287f54a0a8b0bd73cf7e4dca243552cad,ROOM_RESTRICTED,1,"[""ROOM_RESTRICTED""]","[""RESTRICTED""]",false,0,Inspect Valve 7 and replan if a room becomes restricted.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,94,STORE_CARRIED_TOOL,95399dc3a612a26c8d61b8bd2b10b61277bf55e28014db1a89fac18fa80b00ac,NONE,0,[],[],false,0,Find a safe location for the carried tool.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,95,INSPECT_NEAREST_COOLANT,4e7b8fa7c9a711e971303a6b87f87b139d519eb6fbb1185603226a8e6f548ea3,INSTRUCTION_CHANGED+ROUTE_BLOCKED,2,"[""ROUTE_BLOCKED"",""INSTRUCTION_CHANGED""]","[""UNAVAILABLE"",""AVOID_ROOM:ElectricalRoom""]",false,0,Safely inspect the nearest coolant valve without entering a restricted room.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,95,INSPECT_VALVE7_WITH_ALTERNATE,acef1fa31926dbd62be3838c758d0d72192c53ae3964ff193ddf2d1a9effdea1,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",false,0,"Safely inspect Valve 7; if Door 3 is unavailable, use another route.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,95,REACH_PUMP2_WITH_RECHARGE,f0b7c5eca3fd0140de838d1b54d570b5bf5f49f53c8d6162162c7028fd904bfc,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",true,1,"Reach Pump 2, but recharge first if estimated battery is insufficient.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,95,REPLAN_ON_RESTRICTION,c36f47f753320b087bb8e739666cbb582faa1358e931f17fb2622dc4c01b67f7,INSTRUCTION_CHANGED+ROOM_RESTRICTED,2,"[""INSTRUCTION_CHANGED"",""ROOM_RESTRICTED""]","[""AVOID_ROOM:ElectricalRoom"",""RESTRICTED""]",false,0,Safely inspect Valve 7 and replan if a room becomes restricted.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,95,STORE_CARRIED_TOOL,513080e093cccc0f1670a3ecb6acce9de57f491e6623c095e28dd691d3ae2a45,INSTRUCTION_CHANGED,1,"[""INSTRUCTION_CHANGED""]","[""AVOID_ROOM:ElectricalRoom""]",false,0,Find a safe location for the carried tool.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,96,INSPECT_NEAREST_COOLANT,b514d77610649c105d6fbdb29815407beeef26cc714b12679f389edbc40497c0,ROUTE_BLOCKED,1,"[""ROUTE_BLOCKED""]","[""UNAVAILABLE""]",true,1,Inspect the nearest coolant valve without entering a restricted room.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,96,INSPECT_VALVE7_WITH_ALTERNATE,febf2bea33bab78abc3804b07341cf353681148b65b0adb2d84ec66539f6c660,ROUTE_BLOCKED,1,"[""ROUTE_BLOCKED""]","[""UNAVAILABLE""]",true,1,"Inspect Valve 7; if Door 3 is unavailable, use another route.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,96,REACH_PUMP2_WITH_RECHARGE,412471aa2f4f76f1d9c7c4a6d940f3662c6b9e266d84672c3d905b1d1cad2867,ROUTE_BLOCKED,1,"[""ROUTE_BLOCKED""]","[""UNAVAILABLE""]",true,1,"Reach Pump 2, but recharge first if estimated battery is insufficient.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,96,REPLAN_ON_RESTRICTION,bdff7417940f03d328ab5ce7cc4c12b6479742bbcb8c4cda0d9b4443bb8ab536,ROOM_RESTRICTED,1,"[""ROOM_RESTRICTED""]","[""RESTRICTED""]",true,1,Inspect Valve 7 and replan if a room becomes restricted.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,96,STORE_CARRIED_TOOL,44f8f7a9f70e181ac3c510528b8b0b427dff829710630c6eebe7950b55a7ba22,NONE,0,[],[],false,0,Find a safe location for the carried tool.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,97,INSPECT_NEAREST_COOLANT,0f385df2802267cfaf1c66e556b1ae8529d9a704e623181fd2af0a82cb128ed6,ROUTE_BLOCKED,1,"[""ROUTE_BLOCKED""]","[""UNAVAILABLE""]",false,0,Safely inspect the nearest coolant valve without entering a restricted room.,results/indicative-twin-hierarchy-a/raw/cases.jsonl
a,97,INSPECT_VALVE7_WITH_ALTERNATE,752eca22762842c7187ad85153cb78114e33d347afa517309e46bab57e9ed9ef,NONE,0,[],[],true,1,"Safely inspect Valve 7; if Door 3 is unavailable, use another route.",results/indicative-twin-hierarchy-a/raw/cases.jsonl
